A000001,A000002,A000005,A000009,A000010,A000014,A000019,A000029,A000031,A000032,A000035,A000040,A000041,A000043,A000045,A000048,A000055,A000058,A000069,A000079,A000081,A000085,A000088,A000105,A000108,A000110,A000111,A000120,A000123,A000124,A000129,A000140,A000142,A000161,A000166,A000169,A000182,A000203,A000204,A000217,A000219,A000225,A000244,A000262,A000272,A000273,A000290,A000292,A000302,A000311,A000312,A000326,A000330,A000364,A000396,A000521,A000578,A000583,A000593,A000594,A000602,A000612,A000670,A000688,A000720,A000793,A000796,A000798,A000959,A000961,A000984,A001003,A001006,A001034,A001037,A001045,A001055,A001057,A001065,A001097,A001113,A001147,A001157,A001190,A001221,A001222,A001227,A001285,A001333,A001349,A001358,A001405,A001462,A001481,A001511,A001519,A001615,A001699,A001700,A001764,A001906,A001969,A002033,A002083,A002110,A002113,A002275,A002322,A002378,A002426,A002487,A002530,A002531,A002572,A002620,A002654,A002658,A002808,A003136,A003418,A003484,A004011,A004018,A004526,A005036,A005100,A005101,A005117,A005130,A005230,A005408,A005588,A005811,A005843,A006318,A006530,A006882,A006894,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027641,A027642,A035099,A038566,A038567,A038568,A038569,A049310,A055512,A070939,A074206,A104725,A226898,A246655
5,2,4,64,12,2988,9,27012,52488,15127,0,73,627,9689.0,6765,26214,823065,,41,1048576,12826228,23758664096,645490122795799841856164638490742749440,2870671950,6564120420,51724158235372,370371188237525,2,390,211,15994428,1214967840930909302,2432902008176640000,1,895014631192902121,278218429446951548637196401,387635983772083031828014624002175135645696,32,24476,210,75278,1048575,3486784401,327697927886085654441,262144000000000000000000,1012217254292417409434513804430689211211375080804492269114835544727596203057477083615347561594880,400,1540,1099511627776,887094711304119347388416,104857600000000000000000000,590,2870,14851150718114980017877156781405826684425,,47438786801234168813250,8000,160000,32,-4219488,366319,,2677687796244384203115,1,8,420,6,,87,41,137846528820,8759309660445,50852019,25920,52377,349525,2,-10,11,139,6,319830986772877770815625,500,293547,2,2,4,1,22619537,645465483198722799426731128794502283004,58,184756,8,40,1,63245986,32,,269128937220,102240109897695,102334155,40,3,166116,557940830126698960967415390,111,11111111111111111111,6,420,377379369,3,151316,262087,30410,100,0,,33,49,232792560,1,144,8,10,7299007647552,26,96,33,1436038934715538200913155682637051204376827212,262936,41,,4,40,17518619320890,7,3715891200,,1,1,1,120,1,1,0,32,3,7,1,192,-174611,330,42481784514,5,8,6,1,1,,5,8,11,2,43
2,1,4,76,10,5671,4,50964,99880,24476,1,79,792,9941.0,10946,49929,2144505,,42,2097152,35221832,119952692896,32220272899808983433502244253755283616097664,11123060678,24466267020,474869816156751,4951498053124096,3,450,232,38613965,24965661442811799655,51090942171709440000,0,18795307255050944540,15519448971100888972574851072,283727921907431909304183316295787837183229952,36,39603,231,118794,2097151,10460353203,8281153039765859726341,13248496640331026125580781,52997363800789057029359503873251059802218591414372742974469976945354482882328124727398065711350790568673280,441,1771,4398046511104,44782218857752794987708416,5842587018385982521381124421,651,3311,10364622733519612119397957304745185976310201,,189449976248893390028800,9261,194481,12,-12830688,910726,,81124824998504073881821,1,8,420,2,,93,43,538257874440,47574827600981,142547559,29120,99858,699051,2,11,14,149,0,13113070457687988603440625,610,676157,2,2,2,2,54608393,32219627385046589818232044119082157323436797,62,352716,8,41,2,165580141,36,,1052049481860,642312451217745,267914296,43,3,332232,40729680599249024150621323470,121,111111111111111111111,10,462,1105350729,8,413403,716035,54555,110,0,,34,52,232792560,2,768,0,10,44005602441840,27,100,34,64971294999808427895847904380524143538858551437757,521549,43,,5,42,95149655201962,11,13749310575,,1,720,1,1,1,1,1,33,2,1,8,210,0,1,-83300614144,7,8,5,6,-1,,5,3,3,2,47
2,1,2,89,22,10981,7,96909,190746,39603,0,83,1002,11213.0,17711,95325,5623756,,44,4194304,97055181,618884638912,3070846483094144300637568517187105410586657814272,43191857688,91482563640,4506715738447323,69348874393137901,3,524,254,93222358,538134522243713149122,1124000727777607680000,0,413496759611120779881,907846434775996175406740561329,227681379129930886488600284336316164603920777216,24,64079,253,186475,4194303,31381059609,218456450997775993367443,705429498686404044207947776,10594766858964497629695067053897003373852637453808216359192487803513788467139688278618552928524375403980583503826255872,484,2024,17592186044416,2376613641928863263785541632,341427877364219557396646723584,715,3795,7947579422597592703608040510088070619519273805,,731811377318137519245696,10648,234256,24,18643272,2278658,,2574844419803190384544203,1,9,420,6,,99,47,2104098963720,259215937709463,400763223,32736,190557,1398101,1,-11,1,151,2,563862029680583509947946875,530,1563372,1,1,2,2,131836323,3070814262175729723895568454399186829509550171755,65,705432,8,45,1,433494437,24,,4116715363800,4048514844039120,701408733,45,1,664299,3217644767340672907899084554130,131,1111111111111111111111,22,506,3241135527,5,564719,978122,97871,121,0,,35,57,232792560,1,288,0,11,266608387204380,29,102,35,4962007838317808727469503296608693231827094217799731304,1043098,45,,4,44,518431875418926,23,81749606400,,6,-1764,63,6,120,-1,1,34,23,2,7,216,854513,138,160791890304,1,9,6,5,0,,5,3,3,1,49
1,2,8,104,8,21209,5,184410,364724,64079,1,89,1255,19937.0,28657,182361,14828074,,47,8388608,268282855,3257843882624,559946939699792080597976380819462179812276348458981632,168047007728,343059613650,44152005855084346,1015423886506852352,4,598,277,225058681,12140037056605135928410,25852016738884976640000,0,9510425471055777937262,55572324035428505185378394701824,199500252157859031027160499643195658166340757225472,60,103682,276,290783,8388607,94143178827,6004647590528092507965393,39471584120695485887249589623,8103700420256443363901515721739457644303998806848696776323831717773480319463810870056288992606613444674860122179558752943434366976,529,2300,70368744177664,132280106444795539197625827328,20880467999847912034355032910567,782,4324,6667537516685544977435028474773748197524107684661,,2740630712513624654929920,12167,279841,4,21288960,5731580,,85438451336745709294580413,3,9,840,4,,105,49,8233430727600,1416461675464871,1129760415,34440,364722,2796203,7,12,36,179,8,25373791335626257947657609375,850,3626149,2,4,2,1,318281039,559943868821088067965169467298102645124904586852569700,69,1352078,9,49,4,1134903170,48,,16123801841550,25594403741131680,1836311903,46,20,1328598,267064515689275851355624017992790,141,11111111111111111111111,2,552,9513228123,7,1542841,2672279,175586,132,0,,36,61,5354228880,8,576,0,11,1622502417568500,31,104,37,639678600348796935600782403668485485893162060205454197694128,2077698,47,,3,46,2832923350929742,3,316234143225,,15,1624,301,30,1191,0,0,35,2,4,5,240,0,1,-305854488576,2,9,1,7,6,,5,1,1,4,53
15,1,3,122,20,41472,28,352698,699252,103682,0,97,1575,21701.0,46368,349520,39299897,,49,16777216,743724984,17492190577600,195704906302078447922174862416726256004122075267063365754368,654999700403,1289904147324,445958869294805289,15514534163557086905,2,692,301,543339720,285899248139692651257566,620448401733239439360000,0,228250211305338670494289,3552713678800500929355621337890625,190169564657928428175235445073924928592047775873499136,31,167761,300,451194,16777215,282429536481,171679472549945695230447313,2315513501476187716057433112576,23760300906396885911169012362978656033502551831554318328774709571684485865436717259582496963725051827732248271230430817836150732553214336434176,576,2600,281474976710656,7705008716729749963527732396032,1333735776850284124449081472843776,852,4900,6096278645568542158691685742876843153976539044435185,,9971041659937182693533820,13824,331776,31,-25499225,14490245,,2958279121074145472650648875,2,9,840,3,,111,53,32247603683100,7760733824437545,3192727797,39732,698870,5592405,2,-12,6,181,7,1192568192774434123539907640625,651,8436379,1,2,3,1,768398401,195704346352067869424144939394112759539046378875336729014803,74,2704156,9,50,1,2971215073,30,,63205303218876,162250238001816900,4807526976,48,2,2656866,23768741896345550770650537601358310,151,111111111111111111111111,20,600,27948336381,2,2107560,3650401,315016,144,3,,38,63,5354228880,1,96,0,12,9914884542521484,32,108,38,139195130590028911121955178430809752278606772281224640157476731328,4138400,49,,2,48,15521467648875090,5,1961990553600,,20,-735,350,120,2416,0,0,36,5,5,4,256,-236364091,2730,573872089212,4,9,7,1,0,,5,20,45,1,59
2,2,4,142,12,81181,7,675188,1342184,167761,1,101,1958,23209.0,75025,671088,104636890,,50,33554432,2067174645,95680443760576,131331393569895519432161548405816890146389214706146483380458576384,2557227044764,4861946401452,4638590332229999353,246921480190207983616,3,786,326,1311738121,7016726879654720868145951,15511210043330985984000000,2,5706255282633466762357224,236773830007967588876795164938469376,196535694915671808914892880726989984967498805398829268992,42,271443,325,696033,33554431,847288609443,5097728684975832001895021401,142108547152020037174224853515625,267517205769121421815904119914495100042324394837121488937204104123526318439730078470106495746692665996851653073518409779085847384989750047825981945208111104,625,2925,1125899906842624,468744135800126572558268335357952,88817841970012523233890533447265625,925,5525,6053285248188621896314383785111649088103498225146815121,,35307453186561427099877376,15625,390625,14,13865712,36797588,,106697365438475775825583498141,1,9,1260,3,,115,59,126410606437752,42624971294485657,9043402501,51888,1342176,11184811,2,13,16,191,4,58435841445947272053455474390625,850,19680277,2,2,2,2,1855077841,131331197864429267343038461571121231901357546349778703464744110480,77,5200300,9,52,2,7778742049,42,,247959266474052,1031147983159782228,12586269025,51,3,5313732,2305567963945518424753102147331756070,161,1111111111111111111111111,12,650,82176836301,7,5757961,9973081,565168,156,2,,39,64,26771144400,2,744,12,12,60819605908688620,33,112,39,51125173829571287017224567391919410147905063533336189533617647958933056,8243093,51,,3,50,85249942588971314,13,7905853580625,,15,175,140,360,1191,1,1,38,2,7,2,288,0,1,-1063005978624,5,9,2,7,-5,,5,2,2,2,61
2,2,4,165,18,160176,15,1296858,2581428,271443,0,103,2436,44497.0,121393,1290555,279793450,,52,67108864,5759636510,532985208200576,169487618400693135671278778610295749756246061427513800357039083537927168,9999088822075,18367353072152,49631246523618756274,4087072509293123892361,3,900,352,3166815962,179258893496663655603046622,403291461126605635584000000,1,148362637348470135821287825,16423203268260658146231467800709255289,219523439106761591280258358007964245987752702449505540243456,40,439204,351,1068745,67108863,2541865828329,156976479403800014958377703651,9106685769537214956799814036094976,11584522963607104977269584262974452763558219452027825677258626876811325854072630135152666900529622305156666367215263462946428534543343157886767616293171017845769613869056,676,3276,4503599627370496,29730054390033099477714382005796864,6156119580207157310796674288400203776,1001,6201,6506162486684608847715870634080822983483644236765385576565,,121883284330422510433351500,17576,456976,40,-73279080,93839412,,4002225759844168492486127539083,3,9,1260,8,,127,61,495918532948104,234643073935918683,25669818476,58800,2580795,22369621,3,-13,13,193,7,2980227913743310874726229193921875,820,46026618,1,3,4,2,4478554083,169487487069103860309498044496181634419481050608589608741506974117661153,82,10400600,9,53,1,20365011074,36,,973469712824056,6568517413771094628,32951280099,53,4,10626810,232862364358497360900063316880507363070,171,11111111111111111111111111,18,702,241813226151,5,7865521,13623482,1013976,169,0,,40,67,26771144400,1,336,8,13,374396014742043392,34,114,41,31694643543104607480921162707742501609362696928834959986395357757923798445184,16419342,53,,4,52,469286147871837366,3,51011754393600,,6,-21,21,720,120,0,1,39,3,8,1,360,8553103,6,1945403602764,7,9,7,2,0,,5,3,3,1,64
5,1,6,192,12,316749,14,2493726,4971068,439204,1,107,3010,86243.0,196418,2485504,751065460,,55,134217728,16083734329,3020676745975552,421260006519643885757174107650953992882782878952295704539600450662355704738816,39153010938487,69533550916004,545717047936059989389,70251601603943959887872,4,1014,379,7645370045,4759461354691529363949651814,10888869450418352160768000000,0,4005791208408693667174771274,1183768682616191959377597437620164493312,264239411287900883270178745605712648488731058170551223831232512,56,710647,378,1632658,134217727,7625597484987,5006229763167109991562254382853,608266787713357709119683992618861307,1932298270449774983167433143992018153683621753171391492078768099035960335650622687340318805263375472951654368359267438694280583621596831117574839629410006311206969000686014421610266624,729,3654,18014398509481984,1962586033137616773187258991535456256,443426488243037769948249630619149892803,1080,6930,7546659939008739098061432565889736744212240024711699858645581,,410789960190307909157638144,19683,531441,8,24647168,240215803,,155897763918621623249276226253693,2,9,1540,3,,129,64,1946939425648112,1294379445480318899,73007772802,62400,4971008,44739243,4,14,28,197,1,157952079428395476360490147277859375,1050,107890609,2,3,2,1,10812186007,421259837031894153474761394722982198262661349959958867827522253208309529657428,85,20058300,9,58,3,53316291173,48,,3824345300380220,41932353590942745504,86267571272,54,8,21253620,23984823528925228172706521638692258396210,181,111111111111111111111111111,6,756,712070156203,8,21489003,37220045,1819198,182,0,,42,73,80313433200,4,960,0,13,2312286092726586216,35,120,42,33164234712270688420209659351824591989314183382023137257004449888065452053534780352,32706116,55,,3,54,2588758890960637798,7,213458046676875,,1,1,1,720,1,0,0,40,2,1,9,384,0,1,-3519965179904,8,9,3,7,1,,5,4,5,2,67
4,1,2,222,28,629933,8,4806078,9587580,710647,0,109,3718,110503.0,317811,4793490,2023443032,,56,268435456,45007066269,17411277367391104,2019295999678571395728328980890810345860807065053566265347514137546665672316696821760,153511100594603,263747951750360,6160539404599934652455,1252259641403629865468285,3,1154,407,18457556052,131093683078889885597327092718,304888344611713860501504000000,0,112162153835443422680893595673,88540901833145211536614766025207452637361,341838301335718580350174449297951396847081443826785448952307122176,30,1149851,406,2483234,268435455,22876792454961,165145148432723439035142843093913,42277452950578284263485622772148731904,1243185395823609892488943008609097859515444972434031474949950391133102606974713616480735741120246419275028023275169268499949711980947787101708527833074371920507410356107828834569287514119563479351296,784,4060,72057594037927936,134637659404625757681335270499748020224,33145523113253374862572728253364605812736,1162,7714,9420321896420241204202286237690583227209388852599646009394905945,,1353563541518646878675077500,21952,614656,30,128406630,617105614,,6297562064950066033518373935334635,1,10,2310,2,,133,67,7648690600760440,7154203054548921813,208023278209,74412,9586395,89478485,1,-14,1,199,3,8687364368561751199826958100282265625,842,253450711,1,1,2,2,26102926097,2019295578418395388334710354184231114050311766824615116653385182748332016100781822978,86,40116600,10,61,1,139583862445,30,,15033633249770520,268225186597703313816,225851433717,57,1,42505932,2566376117594999414479597815340071648394470,191,1111111111111111111111111111,28,812,2098240353907,3,29354524,50843527,3263875,196,2,,44,75,80313433200,1,192,0,14,14324416382789544320,37,126,43,58570729347335323136023302737708945425317502220277071272415602221462430624119608343237888,65149296,57,,2,56,14308406109097843626,29,1428329123020800,,1,-5040,1,1,1,-1,1,42,29,3,7,420,-23749461029,870,6300794030460,1,10,7,3,0,,5,8,11,1,71
1,2,8,256,8,1256070,4,9272780,18512792,1149851,1,113,4565,132049.0,514229,9256395,5469566585,,59,536870912,126186554308,101990226254706560,18691352722478956041683441055221773100906878077027397169675907651818104181986752359177684992,602621953061978,1002242216651368,71339801938860275191172,23119184187809597841473536,4,1294,436,44560482149,3741163513205099419577155249749,8841761993739701954543616000000,1,3252702461227859257745914274516,6863037736488300000000000000000000000000000,474090194351342155974522582010891145370303013658973457042263121068032,72,1860498,435,3759612,536870911,68630377364883,5628563759710900871382077742916173,3053134545970524535745336759489912159909,3088998226418471843109961563850991515735391184261554056034234428236638702117575317311421726984999310646138690227833696874432926243060603436774894513677155880218490181671042705366663941696960042496131520577692237824,841,4495,288230376151711744,9584963644881810156457282812023186653184,2567686153161211134561828214731016126483469,1247,8555,12622019251806218719903409237287489255482341061191825594069964920041,,4365689224858876634610401280,24389,707281,24,-29211840,1590507121,,263478385263023690020893329044576861,1,10,2520,7,,135,71,30067266499541040,39614015909996567325,593742784829,95040,18512790,178956971,5,15,42,227,5,495179769008019818390136611716089140625,1300,596572387,3,3,4,1,63018038201,18691350703182535102936037539278223408795964939210324175289556058530041603266454027210155407,87,77558760,10,64,2,365435296162,72,,59132290782430712,1718929965542850284040,591286729879,58,13,85011864,279734996817854936178276161872067809674997230,202,11111111111111111111111111111,4,870,6186675630819,7,80198051,138907099,5855833,210,0,,45,76,2329089562800,2,720,8,14,88991667711487428624,38,132,46,174587047432302670618553571492623519395234302099274953709218895672410142725570487269650224035072,130298592,59,,3,58,79228031819993134650,5,6190283353629375,,7,13068,127,7,247,-1,0,44,2,7,3,432,0,1,-11164248047616,3,10,4,7,-4,,5,1,1,3,73
4,1,2,296,30,2515169,12,17920860,35792568,1860498,0,127,5604,216091.0,832040,17895679,14830871802,,61,1073741824,354426847597,606917269909048576,334494316309257669249439569928080028956631479935393064329967834887217734534880582749030521599504384,2368347037571252,3814986502092304,846749014511809332450147,441543893249023104553682821,4,1460,466,107578520350,110520062557960229937518882573780,265252859812191058636308480000000,0,97581073836835777732377428235481,550618520345910837374536871905139185678862401,703237958001393736999896827714634659411015090272684227831001161763127296,32,3010349,465,5668963,1073741823,205891132094649,197987401295571718915006598239796851,228767924549610000000000000000000000000000,29678104024418641173002268141331292690952805980430274173698113715250509978169523144852240218676575421958172234132253298083047112183504256645719254249904324825847330180785815928589222816902809046348043905885016897959939205329059840,900,4960,1152921504606846976,707173340451261419106233361561741760135168,205891132094649000000000000000000000000000000,1335,9455,18108911496579230496545807741652158688733487349236314106008095454231325,,13798375834642999925542288376,27000,810000,32,-52843168,4111846763,,11403568794011880483742464196184901963,1,11,4620,9,,141,73,118264581564861424,219721391307807180831,1697385471211,102660,35790267,357913941,1,-15,1,229,2,29215606371473169285018060091249259296875,962,1406818759,1,1,2,1,152139002499,334494297617902927474062588988771420592400340448497175735486787573919763092664433461017585013705594,91,155117520,10,65,1,956722026041,32,,232714176627630544,11034966795189838872624,1548008755920,60,1,170021123,31610054640417607788145206291543662493274686990,212,111111111111111111111111111111,30,930,18252025766941,4,109552575,189750626,10506175,225,0,,46,79,2329089562800,1,576,0,15,554343930087490101603,39,138,47,878332450140829638256484522632471257632660252323533130626178143135124108228994737708014781199407297536,260075635,61,,2,60,439442782615614361662,31,42849873690624000,,21,-13132,966,42,4293,-1,0,45,31,9,1,480,8615841276005,14322,19591528119288,7,10,7,4,0,,5,13,19,1,79
